timeStamp,Cload,Kp,Ki,Kd,Kcpu,Imax,Imin
364.0,360,0.00,0.00,0.00,0.0,0.0,0.0
727.0,360,0.00,0.00,0.00,0.0,0.0,0.0
1090.0,360,0.00,0.00,0.00,0.0,0.0,0.0
1453.0,360,0.00,0.00,0.00,0.0,0.0,0.0
1816.0,360,0.00,0.00,0.00,0.0,0.0,0.0
2179.0,360,0.00,0.00,0.00,0.0,0.0,0.0
2542.0,60,0.00,0.00,0.00,0.0,0.0,0.0
2605.0,60,0.00,0.00,0.00,0.0,0.0,0.0
2668.0,60,0.00,0.00,0.00,0.0,0.0,0.0
2731.0,60,0.00,0.00,0.00,0.0,0.0,0.0
