timeStamp,Cload,Kp,Ki,Kd,Kcpu,Imax,Imin,Err,PWR_SUM,MAX_Err,Inlet
1.0,360,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
364.0,360,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
727.0,360,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
1090.0,360,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
1453.0,360,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
1816.0,360,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
2179.0,360,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:296019,MAX_Err:0,Inlet:26
2542.0,60,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:50661,MAX_Err:0,Inlet:25
2605.0,60,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:50661,MAX_Err:0,Inlet:25
2668.0,60,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:50661,MAX_Err:0,Inlet:25
2731.0,60,0.00,0.00,0.00,0.0,0.0,0.0,Err:0,PWR_SUM:50661,MAX_Err:0,Inlet:25
