Cload,Kp,Ki,Kd,Kcpu,Imax,Imin
360,0.00,0.00,0.00,0.0,0.0,0.0
360,0.00,0.00,0.00,0.0,0.0,0.0
360,0.00,0.00,0.00,0.0,0.0,0.0
360,0.00,0.00,0.00,0.0,0.0,0.0
360,0.00,0.00,0.00,0.0,0.0,0.0
360,0.00,0.00,0.00,0.0,0.0,0.0
60,0.00,0.00,0.00,0.0,0.0,0.0
60,0.00,0.00,0.00,0.0,0.0,0.0
60,0.00,0.00,0.00,0.0,0.0,0.0
60,0.00,0.00,0.00,0.0,0.0,0.0
